# ---
# experiment_id: ZIF-67 Synthesis_Aditya_and_Hardik_20250725_221848
# experiment_name: ZIF-67 Synthesis
# operator_name: Aditya_and_Hardik
# target_compound: ZIF-67
# project_id: None
# sample_type: MOF_synthesis
# solvent: methanol
# temperature_c: 25
# notes: Synthesis of a single vial of MOF - First run
# created_at: 2025-07-25T22:18:48.445755
# instrument_serial: 2
# measurement_timestamp: 2025-07-25T22:33:38.832838
# well_id: A1
# slot: Well A1 form UWSUNLab 10 Well Plate 14000 µL on slot 2
# pixels: 2068
# integration_time_us: 10000
# scans_averaged: 50
# boxcar_width: 50
# dark_id: dark_20250725_222000
# white_id: white_20250725_222004
# wavelength_unit: nm
# absorbance_unit: AU
# metal_precursor_name: Co+2
# metal_precursor_vol_ml: 1.66
# organic_precursor_name: 2-methylimidazole
# organic_precursor_vol_ml: 1.0375
# solvent_name: methanol
# solvent_vol_ml: 7.2625
# total_volume_ml: 9.96
# ---
wavelength_nm,0 min,15 min,30 min,45 min,60 min,75 min,90 min,105 min,120 min,135 min,150 min,165 min,180 min
246.2,-0.0,-0.0,0.0498660003882853,0.1977922994686974,0.4236983050760614,0.5213848409124435,0.5402748363258892,0.6696607171885262,0.885735684029441,0.7380135928617476,0.5366698104786569,0.741138032707793,0.49847347884389537
246.7,0.1309177160010164,0.2007748792808725,0.3549170475341609,0.6409109752974668,1.7326999330103856,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
247.3,-0.0,-0.0,0.0408807604479056,0.1922440322883958,0.4210226267858841,0.5213848395720744,0.5350409956953673,0.674415267073861,0.8935831061541596,0.7407897488735149,0.5349326279672558,0.7524327892931195,0.5000705180949765
247.8,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
248.3,0.1040843151337173,0.1724592405504554,0.3253480764776612,0.6081428895413544,1.4861203537984482,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
248.9,-0.0,0.0148132514047609,0.1173609095602627,0.2723587568595949,0.4919611457973368,0.593443883905276,0.613155252101823,0.7451885198213657,0.9659945947246924,0.8161633145763866,0.6147335528413145,0.8385191212952774,0.5854877263930629
249.4,0.0014981595783815,0.0505249146354233,0.1536618711381333,0.3095732580439126,0.5327428407218234,0.6329524533379566,0.6509866016273237,0.7915839660375483,1.0131435048551751,0.8583620638745163,0.6525588076128825,0.880860441801721,0.6281612900564302
249.9,-0.0,-0.0,-0.0,-0.0,0.0470448298944194,0.0808121613564885,0.0872725000058062,0.1242227038871006,0.168366770376637,0.1396196767900529,0.0867408704237646,0.1453762478932582,0.08031916976581409
250.5,-0.0,-0.0,0.0128737262340206,0.1968427263995951,0.4838378620237453,0.6352602123766962,0.6740767290169092,0.903089814499906,1.743056535422896,1.0804728685798948,0.6658648606164038,1.164947768088444,0.630337233099134
251.0,-0.0,-0.0,0.073626956779572,0.2956880677896282,0.7043784434491814,0.9960759917913056,1.0980758372215291,9.0,9.0,9.0,1.0631410708199782,9.0,1.0017951668539746
251.5,-0.0,-0.0,-0.0,0.1067400853681359,0.3247421025785376,0.4269253646996075,0.4505394767458112,0.5768623004539569,0.7941366003553798,0.6490934000676004,0.4424253323748976,0.6867803367222437,0.4300007066974706
252.1,-0.0,-0.0,0.0375167059109551,0.1616918483143238,0.3132592267841886,0.3735510576471548,0.3879259132972059,0.4525666348237853,0.5508868437036786,0.4875993728295593,0.3824230555164276,0.505337128146867,0.37621034934826925
252.6,-0.0,-0.0,-0.0,0.1531080224466958,0.3695182825815051,0.4632747514389754,0.4921434019430399,0.6101015598232514,0.8310065096958301,0.681038963785613,0.4811872987407118,0.7220525934594159,0.4736886440287739
253.2,0.1255698889790301,0.1885113423738774,0.3382717650358777,0.6163091882434902,1.277594051516452,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
253.7,-0.0,-0.0,-0.0,0.07278990586571,0.2249338230041372,0.2853065365939776,0.3004081556489483,0.3664237423805479,0.4652618814178291,0.3989171687395791,0.2931804858464785,0.4247635057489865,0.29323605850533513
254.2,-0.0,0.0076689745168363,0.1249387683928561,0.3116528621310857,0.5867707164106382,0.723531810830735,0.7667837058470535,0.9622242283426408,1.552936346697879,1.0863034655217068,0.7388298011760971,1.227464479189451,0.7457583076704986
254.8,-0.0,-0.0,0.0236147620939594,0.1655098002531698,0.3482461020884112,0.4186593791005009,0.4429503178841325,0.523510656567532,0.6624867182914418,0.5662125613763678,0.4283643018595811,0.6009354050747845,0.43063504330193725
255.3,-0.0,-0.0,-0.0,0.0637852279274565,0.2196478423788163,0.2758074824254954,0.2959117307628061,0.358085448771073,0.4626272909533837,0.3910500635620162,0.2835095604049976,0.4187865395408636,0.28881290697140766
